item_id,title,date,publisher,fids,fnames
1388620,"National fish strain registry, paddlefish and sturgeon",1999?],"U.S.G.S. Research and Development Laboratory, Biological Resources Division",FID901,30000067643118.iso
1194863,General Land Office automated records project,1998],"U.S. Dept. of the Interior, Bureau of Land Management, Eastern States",FID1262,30000056955705.iso
7307797,Caves,c2007,Ravenswood Media,FID1252,30000115866117.iso
821003,Air Force electronic publications library,[1995-2006],SAF/AAIP,FID3250|FID3696|FID1069|FID282|FID1183,30000101888299_1.iso|30000101888299_2.iso|30000101888299_3.iso|30000101888299_4.iso|30000101888299_5.iso
4911785,Magnetospheric Constellation,[2000?],"NASA, Goddard Space Flight Center",FID2330,30000078830282.iso
1345476,NBECS,[1991],"Energy Information Administration, Office of Energy Markets and End Use",FID2097|FID1510|FID678,30000048881324.img|30000048881332.img|30000048881340.img
6045583,Scenes of science,c2004],"U.S. Dept. of Agriculture, Agricultural Research Service",FID3514,30000095211359.iso
4296658,National and state summary data tables,19uu,The Center,FID3057,30000048848125.iso
4303180,100-percent summary file,[1999],"U.S. Dept. of Commerce, Bureau of the Census",FID1345|FID2313,30000065992913_1.iso|30000065992913_2.iso
4955899,Surface Meteorology,[2000]s,"WOCE Data Information Unit, University of Delaware, College of Marine Studies",FID1035,30000078818212.iso
3677392,Navy advancement center TRAMANs and NRTCs,1998,NETPDTC,FID1801|FID1735,30000048846715_1.iso|30000048846715_2.iso
4239976,TIGER/line 1992,[1994],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID1757,30000038688622.iso
5525246,108th Congressional district summary files,[2003],"U.S. Dept. of Commerce, Economics and Statistics Administration, U.S. Census Bureau",FID1154,30000085733313.iso
890664,NTIS orderNow catalog,199u,National Information Services Corp,FID1269|FID1139,30000082818679_1.iso|30000082818679_2.iso
6468756,role of educators in preventing and responding to child abuse and neglect,2003,"U.S. Dept. of Health and Human Services, Administration for Children and Families, Administration on Children, Youth and Families, Children's Bureau, Office on Child Abuse and Neglect",FID669,30000102920471.iso
4911237,Status and trends publications of the Department of the Interior,2000,"U.S. Dept. of the Interior, U.S. Geological Survey",FID3023,30000078909581.iso
5603782,Breathing easy,[2003],Indoor Air Quality Information Clearinghouse,FID2492,30000085744260.iso
4239939,1990 census of population and housing,[1994],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID292,30000038688671.iso
1090502,In support of proposed modifications to interim energy conservation standards for new federal residential buildings,[1988],"U.S. Dept. of Energy, Assistant Secretary, Conservation and Renewable Energy, Office of Buildings and Community Systems, Building Systems Division",FID920|FID3074|FID1242|FID3366,30000050360100.img|30000050360233.img|30000050360118.img|30000050360225.img
2885811,Geochemical data for environmental studies of mercury mines in Nevada,1999,"U.S. Dept. of the Interior, U.S. Geological Survey",FID2649,30000079591461.iso
633381,TIGER/census tract street index,[1995],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID1887,30000044871659.iso
4232453,TIGER/line 1992,[1993],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID2909,30000038687103.iso
4970856,National study of postsecondary faculty DAS,[2001],"National Center for Education Statistics, Office of Educational Research and Improvement, U.S. Dept of Education",FID3812,30000079006510.iso
4298827,Census 2000 dress rehearsal geographic products,[1999],"U.S. Dept. of Commerce, Bureau of the Census",FID328|FID1298|FID2919|FID2510,30000061246694_1.iso|30000061246694_2.iso|30000061246702_1.iso|30000061246702_2.iso
4255762,Profiles of gamma-ray and magnetic data for aerial surveys over parts of the western United States from longitude 108 to 126 degrees W. and from latitude 34 to 49 degrees N,1995,U.S. Geological Survey,FID1532,30000077393092.iso
4931369,Vetpop 2000,2000,"Office of the Actuary, Office of Policy & Planning, Dept. of Veterans Affairs",FID1238,30000078832205.iso
4916235,Survey of financial activities and attitudes,2001,"Office of the Comptroller of the Currency, Economic and Policy Analysis",FID663,30000078790874.iso
4907612,Protect your family from lead in your home,[2001?],U.S. Environmental Protection Agency,FID3196,30000078177767.iso
5293706,Coastal GeoTools,1999,NOAA Coastal Services Center,FID261,30000053688416.iso
4947928,implementation guide for juvenile holdover programs,[2001],National Highway Traffic Safety Administration,FID1188,30000076178916.iso
